"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Mitchell, Garrett","669003","2026","395","219",0.255,0.258,-0.0030000000000000027,0.413,0.445,-0.03200000000000003,0.338,0.351,-0.012999999999999956
"Nuñez, Nasim","683083","2026","392","267",0.229,0.222,0.007000000000000006,0.268,0.27,-0.0020000000000000018,0.272,0.271,0.0010000000000000009
"Semien, Marcus","543760","2026","392","275",0.213,0.246,-0.033,0.362,0.399,-0.03700000000000003,0.28,0.308,-0.02799999999999997
"Grisham, Trent","663757","2026","390","275",0.213,0.248,-0.035,0.391,0.44,-0.04899999999999999,0.309,0.341,-0.03200000000000003
"Varsho, Daulton","662139","2026","390","279",0.237,0.237,0,0.37,0.362,0.008000000000000007,0.298,0.294,0.0040000000000000036
"Collins, Isaac","686555","2026","390","253",0.239,0.235,0.0040000000000000036,0.367,0.332,0.034999999999999976,0.317,0.306,0.01100000000000001
"Karros, Kyle","691720","2026","389","257",0.267,0.255,0.01200000000000001,0.42,0.396,0.023999999999999966,0.347,0.337,0.009999999999999953
"Mullins, Cedric","656775","2026","388","267",0.207,0.18,0.026999999999999996,0.358,0.297,0.061,0.287,0.253,0.033999999999999975
"Antonacci, Sam","803011","2026","386","279",0.273,0.283,-0.009999999999999953,0.402,0.414,-0.011999999999999955,0.345,0.352,-0.007000000000000006
"Steer, Spencer","668715","2026","384","256",0.238,0.246,-0.008000000000000007,0.421,0.452,-0.031000000000000028,0.325,0.342,-0.017000000000000015
"Giménez, Andrés","665926","2026","383","286",0.238,0.231,0.0069999999999999785,0.363,0.322,0.04099999999999998,0.282,0.267,0.014999999999999958
"Chourio, Jackson","694192","2026","381","255",0.275,0.256,0.019000000000000017,0.48,0.483,-0.0030000000000000027,0.352,0.343,0.008999999999999952
"Springer, George","543807","2026","378","265",0.234,0.23,0.0040000000000000036,0.396,0.377,0.019000000000000017,0.316,0.307,0.009000000000000008
"Sheets, Gavin","657757","2026","378","252",0.214,0.232,-0.018000000000000016,0.398,0.387,0.01100000000000001,0.316,0.319,-0.0030000000000000027
"Ramírez, José","608070","2026","375","278",0.237,0.283,-0.045999999999999985,0.388,0.43,-0.04199999999999998,0.316,0.35,-0.033999999999999975
"Baty, Brett","683146","2026","375","235",0.214,0.231,-0.017000000000000015,0.321,0.374,-0.05299999999999999,0.271,0.3,-0.02899999999999997
"Bleday, JJ","668709","2026","373","236",0.225,0.249,-0.023999999999999994,0.46,0.453,0.007000000000000006,0.348,0.359,-0.01100000000000001
"Moreno, Gabriel","672515","2026","372","271",0.302,0.295,0.007000000000000006,0.443,0.454,-0.01100000000000001,0.362,0.371,-0.009000000000000008
"Bazzana, Travis","683953","2026","370","239",0.241,0.226,0.014999999999999986,0.386,0.353,0.03300000000000003,0.322,0.304,0.018000000000000016
"Crawford, J.P.","641487","2026","364","235",0.212,0.24,-0.027999999999999997,0.345,0.365,-0.020000000000000018,0.308,0.325,-0.017000000000000015
"Buxton, Byron","621439","2026","362","245",0.263,0.251,0.01200000000000001,0.544,0.51,0.03400000000000003,0.366,0.348,0.018000000000000016
